stock,today,total_vol,year_dbr,year_eps,year_pe,fcfy,beta,score,returns
2330,1070,7.55677E+12,1.08,30.8,34.74,1295436,1.29,2.53,0.666
2359,164.5,4.0551E+11,1.2,0.02,8225,1393,0.48,2.21,1.509
1447,7.25,5250526367,1.55,0.08,90.62,881410,0.29,1.77,-0.116
3296,31.5,6849539782,1.39,0.01,3150,2587,0.36,1.61,0.459
2486,104,4.66616E+11,1.23,0.04,2600,-872,0.66,1.48,0.909
8046,108.5,1.24481E+11,0.98,0.04,2712.5,-19929,0.7,1.47,-0.822
2027,30.2,57025840297,1.31,0.99,30.5,552099,0.24,1.11,-0.244
8429,12.1,1880015047,0.3,0.01,1210,116579,0.24,0.94,0.095
4904,90.9,1.18131E+11,1.59,2.55,35.65,436447,0.02,0.89,0.186
2412,123.5,2.55942E+11,0.77,3.64,33.93,376145,0.05,0.77,0.088
